Name/ Year,2021,2020,2019,2018,2017,2016,2015
1. Market Loans (net),32995.0,32995.0,22114.67,17470.0,13600.0,9199.01,7684.58
2. Loans from SBI & Other Banks,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Loans from Nabard & other,600.0,600.0,210.61,151.98,10791.18,0.0,0.0
4. Ways & Means of Advances from RBI,21308.54,21308.54,28455.66,27917.13,28661.04,0.0,0.0
5. Loans from small Savings,0.0,0.0,0.0,0.0,0.0,-4109.54,-454.83
6. Loans from the Centre,8797.01,8791.01,1317.45,460.31,654.94,-49.19,283.54
7. Recoveries Loans & Advances,50.37,50.37,848.66,73.08,180.93,218.45,137.15
8. Internal State Settlement Accounts,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9. Contigency Fund(net),0.0,0.0,0.0,0.0,0.0,0.0,0.0
10. State Provident Fund,-829.89,-829.89,1241.95,1097.27,1199.28,1108.94,1735.36
11. Group Insurance Fund(net),-15.63,-15.63,21.88,28.94,33.4,0.0,0.0
12. Reserve Fund (net),379.62,379.62,884.93,650.1,1158.32,-525.46,649.54
13. Deposits & Advances (net),83.28,83.28,290.41,179.44,115.89,114.36,401.97
14. Suspense & Miscellaneous (net),-6181.88,-6181.88,621.19,172.6,5046.23,-4918.89,288.49
15. Remittances (net),-57.48,-57.48,10.68,12.2,0.13,2.7,3.23
